case,angle,shear_per_pressure,normal11_per_pressure,normal22_per_pressure
conformal,60.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,62.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,65.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,67.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,70.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,72.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,75.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,77.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,80.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,82.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,85.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,87.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,90.0,-0.0,-0.6000000000000001,-0.6000000000000001
