axial_over_volume,normalized_coupling,shear_per_pressure
0.03169786384922227,-0.7,-0.04854195489835656
0.03169786384922227,-0.675,-0.046733515802478656
0.03169786384922227,-0.65,-0.04493345392771504
0.03169786384922227,-0.625,-0.043141417844697945
0.03169786384922227,-0.6,-0.041357061024194196
0.03169786384922227,-0.575,-0.03958004160081479
0.03169786384922227,-0.55,-0.03781002214280519
0.03169786384922227,-0.525,-0.03604666942757874
0.03169786384922227,-0.5,-0.034289654222666624
0.03169786384922227,-0.475,-0.032538651071771674
0.03169786384922227,-0.45,-0.030793338085623137
0.03169786384922227,-0.425,-0.02905339673734138
0.03169786384922227,-0.4,-0.027318511662030785
0.03169786384922227,-0.375,-0.025588370460328313
0.03169786384922227,-0.35,-0.023862663505644158
0.03169786384922227,-0.32499999999999996,-0.022141083754838534
0.03169786384922227,-0.29999999999999993,-0.02042332656208614
0.03169786384922227,-0.275,-0.018709089495686705
0.03169786384922227,-0.25,-0.016998072157586034
0.03169786384922227,-0.22499999999999998,-0.015289976005378172
0.03169786384922227,-0.19999999999999996,-0.013584504176563797
0.03169786384922227,-0.17499999999999993,-0.011881361314845514
0.03169786384922227,-0.15000000000000002,-0.010180253398244294
0.03169786384922227,-0.125,-0.00848088756882532
0.03169786384922227,-0.09999999999999998,-0.0067829719638251304
0.03169786384922227,-0.07499999999999996,-0.00508621554797432
0.03169786384922227,-0.04999999999999993,-0.0033903279468129035
0.03169786384922227,-0.025000000000000022,-0.0016950192807973674
0.03169786384922227,0.0,-4.906538933386797e-18
0.03169786384922227,0.025000000000000022,0.00169501928079736
0.03169786384922227,0.050000000000000044,0.0033903279468129157
0.03169786384922227,0.07500000000000007,0.005086215547974323
0.03169786384922227,0.09999999999999998,0.006782971963825121
0.03169786384922227,0.1250000000000001,0.008480887568825316
0.03169786384922227,0.15000000000000002,0.010180253398244295
0.03169786384922227,0.17499999999999993,0.011881361314845526
0.03169786384922227,0.20000000000000007,0.013584504176563797
0.03169786384922227,0.22499999999999998,0.015289976005378174
0.03169786384922227,0.2500000000000001,0.016998072157586062
0.03169786384922227,0.275,0.018709089495686712
0.03169786384922227,0.30000000000000016,0.020423326562086154
0.03169786384922227,0.32500000000000007,0.02214108375483854
0.03169786384922227,0.35,0.023862663505644165
0.03169786384922227,0.3750000000000001,0.025588370460328323
0.03169786384922227,0.4,0.027318511662030805
0.03169786384922227,0.42500000000000016,0.029053396737341405
0.03169786384922227,0.45000000000000007,0.030793338085623158
0.03169786384922227,0.475,0.03253865107177168
0.03169786384922227,0.5000000000000001,0.03428965422266664
0.03169786384922227,0.525,0.036046669427578754
0.03169786384922227,0.5500000000000002,0.03781002214280522
0.03169786384922227,0.5750000000000001,0.03958004160081479
0.03169786384922227,0.6,0.0413570610241942
0.03169786384922227,0.6250000000000001,0.043141417844697945
0.03169786384922227,0.65,0.04493345392771505
0.03169786384922227,0.6750000000000002,0.04673351580247866
0.03169786384922227,0.7000000000000001,0.0485419548983566
0.03169786384922227,0.725,0.05035912778757621
0.03169786384922227,0.7500000000000001,0.052185396434750266
0.03169786384922227,0.775,0.05402112845358716
0.03169786384922227,0.8000000000000002,0.05586669737118589
0.03169786384922227,0.8250000000000001,0.05772248290033262
0.03169786384922227,0.85,0.05958887122023734
0.03169786384922227,0.8750000000000001,0.06146625526616616
0.03169786384922227,0.9,0.06335503502844968
0.03556558820077846,-0.9,-0.06655632474960291
0.03556558820077846,-0.875,-0.06455686809624717
0.03556558820077846,-0.85,-0.06257079571633886
0.03556558820077846,-0.825,-0.060597628083068844
0.03556558820077846,-0.8,-0.05863689496450425
