time,x,y,pressure,pressure_reference,normalized_error
0.02,0.05,0.0,5.0227210599888e-05,5.025707019782539e-05,-0.0006226970319859603
0.02,0.06,0.0,5.019556695666e-05,5.022908998454929e-05,-0.0006990948107745004
0.02,0.07,0.0,5.0163923313433e-05,5.0195868897993516e-05,-0.0006661985446890818
0.02,0.08,0.0,5.0125632299405e-05,5.0157330510390426e-05,-0.000661039774925264
0.02,0.09,0.0,5.0080693914578e-05,5.0113386909263694e-05,-0.0006817851600078893
0.02,0.1,0.0,5.003575552975e-05,5.0063938816356644e-05,-0.0005877389561093681
0.02,0.11,0.0,4.9976890967614e-05,5.0008875723554795e-05,-0.0006670154311819601
0.02,0.12,0.0,4.9918026405478e-05,4.994807604620301e-05,-0.0006266602159527513
0.02,0.13,0.0,4.9851797095145e-05,4.988140729424751e-05,-0.0006174960271168299
0.02,0.14,0.0,4.9778203036614e-05,4.980872626166062e-05,-0.0006365364223263987
0.02,0.15,0.0,4.9704608978084e-05,4.972987923462663e-05,-0.0005269901416494241
0.02,0.16,0.0,4.9615316891894e-05,4.964470221898239e-05,-0.0006128065086559129
0.02,0.17,0.0,4.9526024805704e-05,4.95530211874154e-05,-0.0005629870436064944
0.02,0.18,0.0,4.9428321055874e-05,4.9454652346924375e-05,-0.0005491171321130271
0.02,0.19,0.0,4.9322205642404e-05,4.9349402427043544e-05,-0.0005671662796705321
0.02,0.2,0.0,4.9216090228935e-05,4.9237068989319916e-05,-0.00043749456552713415
0.02,0.21,0.0,4.9091879783463e-05,4.911744075851511e-05,-0.0005330528338992131
0.02,0.22,0.0,4.8967669337992e-05,4.8990297975976464e-05,-0.00047190138796764227
0.02,0.23,0.0,4.8833708532022e-05,4.885541277558961e-05,-0.00045262391273282913
0.02,0.24,0.0,4.8689997365554e-05,4.8712549582682894e-05,-0.00047030769470888216
0.02,0.25,0.0,4.8546286199087e-05,4.8561465536206574e-05,-0.00031655242618115444
0.02,0.26,0.0,4.8381549259779e-05,4.840191093445183e-05,-0.0004246257572396947
0.02,0.27,0.0,4.821681232047e-05,4.823362970451334e-05,-0.00035071252973726066
0.02,0.28,0.0,4.8040748746926e-05,4.805635989562595e-05,-0.00032555749684690083
0.02,0.29,0.0,4.7853358539145e-05,4.786983419642973e-05,-0.0003435861029587106
0.02,0.3,0.0,4.7665968331364e-05,4.767378047613161e-05,-0.00016291576900787156
0.02,0.31,0.0,4.7454214219577e-05,4.7467922349440935e-05,-0.0002858716248708859
0.02,0.32,0.0,4.7242460107791e-05,4.7251979765058335e-05,-0.00019852451926259616
0.02,0.33,0.0,4.7017638014795e-05,4.70256696173932e-05,-0.00016749237918331158
0.02,0.34,0.0,4.6779747940591e-05,4.678870638107709e-05,-0.00018682081097037996
0.02,0.35,0.0,4.6541857866387e-05,4.6540802767725454e-05,2.2003203337597796e-05
0.02,0.36,0.0,4.6276022442389e-05,4.628167040428253e-05,-0.00011778353865464343
0.02,0.37,0.0,4.6010187018392e-05,4.6011020532162156e-05,-1.7382235081816966e-05
0.02,0.38,0.0,4.5729468745742e-05,4.57285647262718e-05,1.8852572701400438e-05
0.02,0.39,0.0,4.5433867624439e-05,4.543401563288064e-05,-3.08659271011143e-06
0.02,0.4,0.0,4.5138266503137e-05,4.512708772516188e-05,0.00023312409902283228
0.02,0.41,0.0,4.4811096868253e-05,4.4807498075111015e-05,7.504983198176315e-05
0.02,0.42,0.0,4.4483927233368e-05,4.447496714041028e-05,0.00018685527188916655
0.02,0.43,0.0,4.4140095861752e-05,4.412921956468027e-05,0.00022681611185007572
0.02,0.44,0.0,4.3779602753404e-05,4.376998498943202e-05,0.00020057045283237895
0.02,0.45,0.0,4.3419109645055e-05,4.339699887590631e-05,0.0004611016649549645
0.02,0.46,0.0,4.3023617803273e-05,4.3010003334864824e-05,0.00028391839326219687
0.02,0.47,0.0,4.262812596149e-05,4.26087479622791e-05,0.00040411202521076483
0.02,0.48,0.0,4.2214353431329e-05,4.219299067874958e-05,0.0004455024027500848
0.02,0.49,0.0,4.1782300212789e-05,4.176249857037933e-05,0.00041294675108508266
0.02,0.5,0.0,4.1350246994249e-05,4.131704872872555e-05,0.0006923221622704075
0.02,0.51,0.0,4.0880215861687e-05,4.085642908735869e-05,0.0004960533563049151
0.02,0.52,0.0,4.0410184729126e-05,4.038043925247341e-05,0.0006203171276926044
0.02,0.53,0.0,3.9920546163688e-05,3.9888891324919384e-05,0.0006601352834872377
0.02,0.54,0.0,3.9411300165375e-05,3.938161071095359e-05,0.0006191488307464145
0.02,0.55,0.0,3.8902054167062e-05,3.885843691895999e-05,0.0009096013614606419
0.02,0.56,0.0,3.8352568757661e-05,3.831922433933777e-05,0.0006953700571155961
0.02,0.57,0.0,3.780308334826e-05,3.776384300472705e-05,0.0008183246640933695
0.02,0.58,0.0,3.7233087894508e-05,3.719217932772039e-05,0.0008531140698832314
0.02,0.59,0.0,3.6642582396404e-05,3.6604136813201404e-05,0.0008017505997040864
0.02,0.6,0.0,3.60520768983e-05,3.599963674245824e-05,0.001093595749950018
0.02,0.61,0.0,3.5420043882638e-05,3.537861882623883e-05,0.0008638850303243881
0.02,0.62,0.0,3.4788010866977e-05,3.4741041823950165e-05,0.0009795002514555087
0.02,0.63,0.0,3.4135110284014e-05,3.408688412625104e-05,0.0010057163316818253
0.02,0.64,0.0,3.3461342133749e-05,3.341614429835086e-05,0.0009425631923653623
0.02,0.65,0.0,3.2787573983483e-05,3.2728841581404936e-05,0.0012248153016696222
0.02,0.66,0.0,3.207218589795e-05,3.2025016349487315e-05,0.000983681625232283
